Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
LISTON06-R2	LISTON06-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	23016.0	0.0	251.0	25.0	26.14268335071255	251.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
P01-01-A-R2	P01-01-A-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14200.0	0.0	251.0	49.0	85.70422535211267	251.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	warn
P01-01-B-R2	P01-01-B-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11836.0	0.0	251.0	48.0	91.27238932071646	251.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
P01-01-C-R2	P01-01-C-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13809.0	0.0	251.0	49.0	78.68057064233471	251.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
P01-01-D-R2	P01-01-D-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16312.0	0.0	251.0	50.0	72.38229524276606	251.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	fail
P01-01-E-R2	P01-01-E-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17463.0	0.0	251.0	50.0	73.75021473973544	251.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	warn
P01-01-F-R2	P01-01-F-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26416.0	0.0	251.0	49.0	69.57904300423986	251.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
P01-01-G-R2	P01-01-G-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9356.0	0.0	251.0	43.0	83.05899957246686	251.0	pass	fail	pass	warn	fail	fail	pass	pass	pass	warn	fail
P01-01-H-R2	P01-01-H-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12967.0	0.0	251.0	43.0	82.44775198581013	251.0	pass	fail	pass	warn	fail	fail	pass	pass	pass	warn	fail
P01-02-A-R2	P01-02-A-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1994.0	0.0	251.0	42.0	76.9307923771314	251.0	pass	fail	pass	warn	fail	warn	pass	pass	pass	fail	fail
P01-02-B-R2	P01-02-B-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2293.0	0.0	251.0	41.0	77.4967291757523	251.0	pass	fail	pass	warn	fail	pass	pass	pass	pass	warn	fail
P01-02-C-R2	P01-02-C-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1986.0	0.0	251.0	42.0	98.79154078549848	251.0	pass	fail	pass	warn	fail	warn	pass	pass	pass	warn	fail
P01-02-D-R2	P01-02-D-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	287.0	0.0	251.0	42.0	100.0	251.0	pass	fail	pass	warn	fail	warn	pass	pass	pass	warn	fail
undetermined-R2	undetermined-R2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62491.0	0.0	251.0	44.0	35.73794626426206	251.0	pass	pass	pass	pass	pass	fail	pass	pass	fail	warn	warn
